name,success,type,from,to,object,launch,finish,cospar,agency
Mars 2,TRUE,orbit,earth,mars,planet,5/19/71,11/27/71,,soviet
Mars 3,TRUE,orbit,earth,mars,planet,5/28/71,12/2/71,1971-049A,soviet
Mariner 9,TRUE,orbit,earth,mars,planet,5/30/71,10/27/72,,nasa
Mars 5,TRUE,orbit,earth,mars,planet,7/25/73,,,soviet
Phobos 1,FALSE,orbit,earth,mars,planet,7/7/88,9/2/88,,soviet
Phobos 2,TRUE,orbit,earth,mars,planet,7/12/88,3/27/89,1988-059A,soviet
Mars Global Surveyor,TRUE,orbit,earth,mars,planet,11/7/96,11/2/06,1996-062A,nasa
Mars Climate Orbiter,FALSE,orbit,earth,mars,planet,12/10/98,9/23/99,1998-073A,nasa
Mars Odyssey,TRUE,orbit,earth,mars,planet,4/7/01,,2001-014A,nasa
Mars Express,TRUE,orbit,earth,mars,planet,6/2/03,12/25/03,,esa
Mars Reconnaissance Orbiter,TRUE,orbit,earth,mars,planet,8/12/05,,2005-029A,nasa
Mars Orbiter Mission,TRUE,orbit,earth,mars,planet,11/5/13,,,isro
MAVEN,TRUE,orbit,earth,mars,planet,11/18/13,,,nasa
Spirit (MER-A),TRUE,rover,earth,mars,planet,6/10/03,3/22/10,,nasa
Opportunity (MER-B),TRUE,rover,earth,mars,planet,7/8/03,,,nasa
Curiosity (Mars Science Laboratory),TRUE,rover,earth,mars,planet,11/26/11,,,nasa
Mars 2M,FALSE,orbit,earth,mars,planet,10/14/60,10/14/60,MARSNK2,soviet
Sputnik 22,FALSE,flyby,earth,mars,planet,10/24/62,10/29/62,,soviet
Mars 1,FALSE,flyby,earth,mars,planet,11/1/62,3/21/63,,soviet
Sputnik 24,FALSE,lander,earth,mars,planet,11/4/62,11/25/62,,soviet
Mariner 3,FALSE,flyby,earth,mars,planet,11/5/64,11/5/64,,nasa
Zond 2,FALSE,flyby,earth,mars,planet,11/30/64,8/6/65,,soviet
Mars 1969A,FALSE,orbit,earth,mars,planet,3/27/69,3/27/69,,soviet
Mars 1969B,FALSE,orbit,earth,mars,planet,4/2/69,4/2/69,,soviet
Mariner 8,FALSE,orbit,earth,mars,planet,5/8/71,5/8/71,,nasa
Cosmos 419,FALSE,orbit,earth,mars,planet,5/10/71,5/12/71,,soviet
Mars 96,FALSE,orbit,earth,mars,planet,11/16/96,11/17/96,,roscosmos
Nozomi (Planet-B),FALSE,orbit,earth,mars,planet,7/3/98,12/14/03,,jaxa
Phobos-Grunt,FALSE,lander,earth,mars,planet,11/8/11,1/15/12,,roscosmos
Yinghuo-1,FALSE,orbit,earth,mars,planet,11/8/11,1/15/12,,cnsa
Mariner 10,TRUE,flyby,mercury,mercury,planet,3/29/74,9/21/74,,nasa
Mariner 10,TRUE,flyby,mercury,mercury,planet,9/21/74,3/16/75,,nasa
Mariner 10,TRUE,flyby,venus,mercury,planet,2/5/74,3/29/74,,nasa
MESSENGER,TRUE,orbit,venus,mercury,planet,10/24/06,3/18/11,,nasa
Voyager 2,TRUE,flyby,uranus,neptune,planet,1/24/86,8/25/89,,nasa
New Horizons,TRUE,flyby,jupiter,pluto,asteroid,2/28/07,6/14/15,,nasa
Pioneer 11,TRUE,flyby,jupiter,saturn,planet,12/3/74,9/1/79,,nasa
Voyager 2,TRUE,flyby,jupiter,saturn,planet,7/9/79,8/26/81,,nasa
Voyager 1,TRUE,flyby,jupiter,saturn,planet,3/5/79,11/12/80,,nasa
Cassini-Huygens,TRUE,orbit,jupiter,saturn,planet,12/30/00,7/1/04,1997-061A,nasa
