name,success,type,from,to,object,launch,finish,cospar,agency,country
Pioneer 10,True,flyby,earth,jupiter,planet,1972-03-03,1973-12-04,,nasa,USA
Pioneer 11,True,flyby,earth,jupiter,planet,1973-04-06,1974-12-03,,nasa,USA
Voyager 2,True,flyby,earth,jupiter,planet,1977-08-20,1979-07-09,,nasa,USA
Voyager 1,True,flyby,earth,jupiter,planet,1977-09-05,1979-03-05,,nasa,USA
Galileo,True,orbit,(243) Ida,jupiter,planet,1993-08-28,1995-12-08,1989-084B,nasa,USA
Ulysses,True,flyby,earth,jupiter,planet,1990-10-06,2009-06-30,,esa,EU
Cassini-Huygens,True,flyby,venus,jupiter,planet,1999-06-24,2000-12-30,1997-061A,nasa,USA
New Horizons,True,flyby,(132524) APL,jupiter,planet,2006-06-13,2007-02-28,,nasa,USA
Juno,True,orbit,earth,jupiter,planet,2011-08-05,,,nasa,USA
