date,China,EU,India,Japan,Russia,Soviet Union,USA
1972,0,0,0,0,0,0,1
1973,0,0,0,0,0,0,1
1977,0,0,0,0,0,0,2
1993,0,0,0,0,0,0,1
1990,0,1,0,0,0,0,0
1999,0,0,0,0,0,0,1
2006,0,0,0,0,0,0,1
2011,0,0,0,0,0,0,1
