date,China,EU,India,Japan,Russia,Soviet Union,USA
1961,0,0,0,0,0,2,0
1962,0,0,0,0,0,2,2
1963,0,0,0,0,0,1,0
1964,0,0,0,0,0,4,0
1965,0,0,0,0,0,4,0
1967,0,0,0,0,0,2,1
1969,0,0,0,0,0,2,0
1970,0,0,0,0,0,2,0
1972,0,0,0,0,0,2,0
1973,0,0,0,0,0,0,1
1975,0,0,0,0,0,4,0
1978,0,0,0,0,0,3,2
1981,0,0,0,0,0,2,0
1982,0,0,0,0,0,2,0
1983,0,0,0,0,0,2,0
1984,0,0,0,0,0,2,0
1985,0,0,0,0,0,1,0
1989,0,0,0,0,0,0,2
1997,0,0,0,0,0,0,1
1998,0,0,0,0,0,0,1
2004,0,0,0,0,0,0,1
2005,0,1,0,0,0,0,0
2010,0,0,0,2,0,0,0
