name,success,type,from,to,object,launch,finish,cospar,agency,country
Deep Impact,True,flyby,earth,9P/Tempel,asteroid,2005-01-12,2005-07-04,2005-001A,nasa,USA
Stardust,True,flyby,earth,9P/Tempel,asteroid,2006-01-15,2011-02-14,,nasa,USA
