date,China,EU,India,Japan,Russia,Soviet Union,USA
1960,0,0,0,0,0,2,0
1962,0,0,0,0,0,3,0
1964,0,0,0,0,0,1,2
1967,0,0,0,0,0,1,0
1969,0,0,0,0,0,2,2
1971,0,0,0,0,0,5,2
1973,0,0,0,0,0,4,0
1975,0,0,0,0,0,0,2
1988,0,0,0,0,0,2,0
1992,0,0,0,0,0,0,1
1996,0,0,0,0,1,0,2
1998,0,0,0,1,0,0,1
1999,0,0,0,0,0,0,1
2001,0,0,0,0,0,0,1
2003,0,2,0,0,0,0,2
2004,0,1,0,0,0,0,0
2005,0,0,0,0,0,0,1
2007,0,0,0,0,0,0,2
2011,1,0,0,0,1,0,1
2013,0,0,1,0,0,0,1
2016,0,1,0,0,0,0,0
